#ID  HF   MP2  CCSD(T)
 512 0.00 0.00 0.00
5987 0.00 0.00 0.00
3269 0.00 0.00 0.00
2452 0.00 0.00 0.00
1753 0.00 0.00 0.00
3891 0.00 0.00 0.00
2750 0.00 0.00 0.00
2291 0.00 0.00 0.00
4321 0.00 0.00 0.00
2050 0.00 0.00 0.00
3587 0.00 0.00 0.00
2900 0.00 0.00 0.00
6587 0.00 0.00 0.00
5357 0.00 0.00 0.00
 175 0.00 0.00 0.00
1541 0.00 0.00 0.00
1079 0.00 0.00 0.00
7103 0.00 0.00 0.00
4093 0.00 0.00 0.00
4916 0.00 0.00 0.00
1267 0.00 0.00 0.00
4195 0.00 0.00 0.00
3876 0.00 0.00 0.00
3005 0.00 0.00 0.00
2809 0.00 0.00 0.00
4970 0.00 0.00 0.00
2209 0.00 0.00 0.00
2386 0.00 0.00 0.00
6514 0.00 0.00 0.00
 361 0.00 0.00 0.00
 359 0.00 0.00 0.00
3966 0.00 0.00 0.00
1999 0.00 0.00 0.00
1028 0.00 0.00 0.00
4043 0.00 0.00 0.00
3071 0.00 0.00 0.00
1281 0.00 0.00 0.00
2823 0.00 0.00 0.00
4117 0.00 0.00 0.00
5199 0.00 0.00 0.00
1705 0.00 0.00 0.00
2494 0.00 0.00 0.00
4740 0.00 0.00 0.00
4479 0.00 0.00 0.00
 146 0.00 0.00 0.00
5707 0.00 0.00 0.00
6545 0.00 0.00 0.00
5923 0.00 0.00 0.00
5292 0.00 0.00 0.00
4249 0.00 0.00 0.00
3652 0.00 0.00 0.00
3263 0.00 0.00 0.00
1198 0.00 0.00 0.00
5508 0.00 0.00 0.00
3180 0.00 0.00 0.00
5666 0.00 0.00 0.00
2129 0.00 0.00 0.00
2634 0.00 0.00 0.00
1348 0.00 0.00 0.00
3793 0.00 0.00 0.00
6591 0.00 0.00 0.00
6422 0.00 0.00 0.00
1699 0.00 0.00 0.00
3712 0.00 0.00 0.00
5847 0.00 0.00 0.00
6319 0.00 0.00 0.00
 613 0.00 0.00 0.00
5255 0.00 0.00 0.00
4327 0.00 0.00 0.00
3018 0.00 0.00 0.00
 207 0.00 0.00 0.00
 160 0.00 0.00 0.00
3542 0.00 0.00 0.00
6129 0.00 0.00 0.00
 388 0.00 0.00 0.00
  48 0.00 0.00 0.00
4176 0.00 0.00 0.00
 678 0.00 0.00 0.00
5459 0.00 0.00 0.00
6378 0.00 0.00 0.00
 532 0.00 0.00 0.00
 770 0.00 0.00 0.00
3184 0.00 0.00 0.00
4166 0.00 0.00 0.00
2516 0.00 0.00 0.00
5403 0.00 0.00 0.00
6030 0.00 0.00 0.00
 152 0.00 0.00 0.00
 999 0.00 0.00 0.00
1431 0.00 0.00 0.00
4543 0.00 0.00 0.00
6172 0.00 0.00 0.00
1596 0.00 0.00 0.00
6184 0.00 0.00 0.00
6600 0.00 0.00 0.00
6960 0.00 0.00 0.00
2586 0.00 0.00 0.00
3364 0.00 0.00 0.00
1570 0.00 0.00 0.00
1995 0.00 0.00 0.00
4150 0.00 0.00 0.00
7116 0.00 0.00 0.00
1968 0.00 0.00 0.00
3569 0.00 0.00 0.00
5116 0.00 0.00 0.00
5896 0.00 0.00 0.00
1361 0.00 0.00 0.00
6270 0.00 0.00 0.00
2376 0.00 0.00 0.00
5695 0.00 0.00 0.00
6300 0.00 0.00 0.00
5044 0.00 0.00 0.00
 239 0.00 0.00 0.00
2504 0.00 0.00 0.00
2699 0.00 0.00 0.00
2422 0.00 0.00 0.00
5103 0.00 0.00 0.00
6467 0.00 0.00 0.00
6491 0.00 0.00 0.00
4714 0.00 0.00 0.00
1972 0.00 0.00 0.00
4369 0.00 0.00 0.00
3878 0.00 0.00 0.00
 583 0.00 0.00 0.00
6681 0.00 0.00 0.00
5464 0.00 0.00 0.00
5701 0.00 0.00 0.00
2936 0.00 0.00 0.00
 274 0.00 0.00 0.00
5638 0.00 0.00 0.00
7051 0.00 0.00 0.00
3614 0.00 0.00 0.00
6442 0.00 0.00 0.00
 314 0.00 0.00 0.00
 842 0.00 0.00 0.00
6104 0.00 0.00 0.00
6698 0.00 0.00 0.00
3593 0.00 0.00 0.00
6696 0.00 0.00 0.00
3343 0.00 0.00 0.00
3725 0.00 0.00 0.00
2974 0.00 0.00 0.00
6990 0.00 0.00 0.00
 372 0.00 0.00 0.00
2928 0.00 0.00 0.00
 275 0.00 0.00 0.00
5850 0.00 0.00 0.00
4763 0.00 0.00 0.00
1738 0.00 0.00 0.00
1534 0.00 0.00 0.00
4840 0.00 0.00 0.00
1672 0.00 0.00 0.00
5681 0.00 0.00 0.00
2815 0.00 0.00 0.00
2964 0.00 0.00 0.00
5620 0.00 0.00 0.00
2855 0.00 0.00 0.00
4905 0.00 0.00 0.00
4623 0.00 0.00 0.00
2409 0.00 0.00 0.00
3132 0.00 0.00 0.00
5253 0.00 0.00 0.00
3940 0.00 0.00 0.00
7010 0.00 0.00 0.00
 455 0.00 0.00 0.00
2096 0.00 0.00 0.00
5643 0.00 0.00 0.00
4145 0.00 0.00 0.00
1437 0.00 0.00 0.00
3193 0.00 0.00 0.00
4422 0.00 0.00 0.00
5754 0.00 0.00 0.00
6287 0.00 0.00 0.00
6901 0.00 0.00 0.00
5884 0.00 0.00 0.00
1926 0.00 0.00 0.00
4055 0.00 0.00 0.00
6776 0.00 0.00 0.00
2081 0.00 0.00 0.00
3047 0.00 0.00 0.00
4843 0.00 0.00 0.00
4407 0.00 0.00 0.00
4725 0.00 0.00 0.00
5359 0.00 0.00 0.00
5164 0.00 0.00 0.00
5751 0.00 0.00 0.00
3318 0.00 0.00 0.00
3339 0.00 0.00 0.00
4111 0.00 0.00 0.00
3759 0.00 0.00 0.00
3840 0.00 0.00 0.00
5561 0.00 0.00 0.00
2091 0.00 0.00 0.00
1748 0.00 0.00 0.00
6650 0.00 0.00 0.00
4158 0.00 0.00 0.00
4797 0.00 0.00 0.00
 398 0.00 0.00 0.00
6908 0.00 0.00 0.00
4727 0.00 0.00 0.00
2941 0.00 0.00 0.00
5542 0.00 0.00 0.00
 452 0.00 0.00 0.00
4601 0.00 0.00 0.00
6458 0.00 0.00 0.00
 487 0.00 0.00 0.00
6013 0.00 0.00 0.00
2843 0.00 0.00 0.00
2796 0.00 0.00 0.00
7008 0.00 0.00 0.00
6728 0.00 0.00 0.00
6694 0.00 0.00 0.00
3228 0.00 0.00 0.00
 636 0.00 0.00 0.00
5709 0.00 0.00 0.00
4711 0.00 0.00 0.00
4896 0.00 0.00 0.00
1978 0.00 0.00 0.00
5035 0.00 0.00 0.00
6639 0.00 0.00 0.00
5004 0.00 0.00 0.00
5231 0.00 0.00 0.00
2378 0.00 0.00 0.00
6796 0.00 0.00 0.00
5809 0.00 0.00 0.00
6620 0.00 0.00 0.00
2321 0.00 0.00 0.00
6082 0.00 0.00 0.00
3323 0.00 0.00 0.00
1123 0.00 0.00 0.00
6261 0.00 0.00 0.00
6641 0.00 0.00 0.00
2134 0.00 0.00 0.00
 138 0.00 0.00 0.00
 365 0.00 0.00 0.00
 898 0.00 0.00 0.00
5158 0.00 0.00 0.00
4005 0.00 0.00 0.00
4900 0.00 0.00 0.00
2478 0.00 0.00 0.00
4934 0.00 0.00 0.00
1193 0.00 0.00 0.00
2013 0.00 0.00 0.00
4070 0.00 0.00 0.00
5799 0.00 0.00 0.00
1275 0.00 0.00 0.00
6446 0.00 0.00 0.00
 101 0.00 0.00 0.00
 292 0.00 0.00 0.00
3475 0.00 0.00 0.00
5439 0.00 0.00 0.00
4765 0.00 0.00 0.00
4228 0.00 0.00 0.00
1770 0.00 0.00 0.00
6548 0.00 0.00 0.00
4381 0.00 0.00 0.00
 355 0.00 0.00 0.00
2302 0.00 0.00 0.00
3352 0.00 0.00 0.00
4418 0.00 0.00 0.00
6228 0.00 0.00 0.00
4402 0.00 0.00 0.00
  24 0.00 0.00 0.00
4628 0.00 0.00 0.00
7130 0.00 0.00 0.00
4440 0.00 0.00 0.00
1568 0.00 0.00 0.00
2411 0.00 0.00 0.00
 269 0.00 0.00 0.00
3912 0.00 0.00 0.00
2763 0.00 0.00 0.00
3792 0.00 0.00 0.00
2575 0.00 0.00 0.00
4618 0.00 0.00 0.00
5623 0.00 0.00 0.00
 884 0.00 0.00 0.00
6244 0.00 0.00 0.00
6029 0.00 0.00 0.00
5752 0.00 0.00 0.00
6349 0.00 0.00 0.00
2328 0.00 0.00 0.00
6811 0.00 0.00 0.00
 916 0.00 0.00 0.00
5885 0.00 0.00 0.00
 173 0.00 0.00 0.00
2441 0.00 0.00 0.00
7183 0.00 0.00 0.00
3735 0.00 0.00 0.00
3093 0.00 0.00 0.00
1008 0.00 0.00 0.00
4553 0.00 0.00 0.00
4307 0.00 0.00 0.00
1510 0.00 0.00 0.00
1185 0.00 0.00 0.00
6068 0.00 0.00 0.00
 360 0.00 0.00 0.00
1559 0.00 0.00 0.00
6652 0.00 0.00 0.00
3822 0.00 0.00 0.00
2366 0.00 0.00 0.00
6443 0.00 0.00 0.00
5293 0.00 0.00 0.00
2168 0.00 0.00 0.00
6556 0.00 0.00 0.00
5608 0.00 0.00 0.00
7126 0.00 0.00 0.00
5633 0.00 0.00 0.00
 447 0.00 0.00 0.00
2256 0.00 0.00 0.00
3013 0.00 0.00 0.00
4771 0.00 0.00 0.00
4470 0.00 0.00 0.00
3024 0.00 0.00 0.00
1407 0.00 0.00 0.00
6257 0.00 0.00 0.00
4047 0.00 0.00 0.00
6428 0.00 0.00 0.00
6362 0.00 0.00 0.00
6606 0.00 0.00 0.00
3853 0.00 0.00 0.00
2912 0.00 0.00 0.00
 990 0.00 0.00 0.00
6276 0.00 0.00 0.00
6571 0.00 0.00 0.00
4772 0.00 0.00 0.00
6095 0.00 0.00 0.00
1060 0.00 0.00 0.00
6332 0.00 0.00 0.00
2401 0.00 0.00 0.00
 226 0.00 0.00 0.00
1763 0.00 0.00 0.00
5862 0.00 0.00 0.00
1243 0.00 0.00 0.00
3605 0.00 0.00 0.00
3636 0.00 0.00 0.00
5353 0.00 0.00 0.00
2859 0.00 0.00 0.00
1390 0.00 0.00 0.00
2992 0.00 0.00 0.00
1918 0.00 0.00 0.00
2937 0.00 0.00 0.00
 254 0.00 0.00 0.00
 483 0.00 0.00 0.00
4446 0.00 0.00 0.00
 973 0.00 0.00 0.00
2630 0.00 0.00 0.00
3195 0.00 0.00 0.00
 709 0.00 0.00 0.00
4565 0.00 0.00 0.00
4824 0.00 0.00 0.00
4142 0.00 0.00 0.00
5906 0.00 0.00 0.00
5144 0.00 0.00 0.00
1077 0.00 0.00 0.00
4121 0.00 0.00 0.00
 778 0.00 0.00 0.00
3610 0.00 0.00 0.00
1535 0.00 0.00 0.00
1291 0.00 0.00 0.00
3019 0.00 0.00 0.00
4088 0.00 0.00 0.00
4987 0.00 0.00 0.00
1384 0.00 0.00 0.00
6807 0.00 0.00 0.00
2857 0.00 0.00 0.00
 564 0.00 0.00 0.00
6581 0.00 0.00 0.00
1482 0.00 0.00 0.00
4380 0.00 0.00 0.00
3440 0.00 0.00 0.00
5979 0.00 0.00 0.00
6926 0.00 0.00 0.00
5644 0.00 0.00 0.00
1105 0.00 0.00 0.00
5343 0.00 0.00 0.00
3990 0.00 0.00 0.00
 279 0.00 0.00 0.00
4629 0.00 0.00 0.00
6190 0.00 0.00 0.00
 294 0.00 0.00 0.00
 802 0.00 0.00 0.00
5835 0.00 0.00 0.00
2015 0.00 0.00 0.00
2649 0.00 0.00 0.00
5208 0.00 0.00 0.00
5826 0.00 0.00 0.00
3566 0.00 0.00 0.00
6204 0.00 0.00 0.00
5226 0.00 0.00 0.00
6177 0.00 0.00 0.00
3023 0.00 0.00 0.00
5184 0.00 0.00 0.00
3812 0.00 0.00 0.00
5533 0.00 0.00 0.00
4054 0.00 0.00 0.00
3153 0.00 0.00 0.00
5233 0.00 0.00 0.00
 163 0.00 0.00 0.00
6610 0.00 0.00 0.00
1843 0.00 0.00 0.00
5176 0.00 0.00 0.00
3525 0.00 0.00 0.00
 497 0.00 0.00 0.00
6878 0.00 0.00 0.00
4365 0.00 0.00 0.00
2601 0.00 0.00 0.00
1426 0.00 0.00 0.00
1727 0.00 0.00 0.00
2391 0.00 0.00 0.00
 158 0.00 0.00 0.00
3080 0.00 0.00 0.00
3971 0.00 0.00 0.00
 482 0.00 0.00 0.00
4552 0.00 0.00 0.00
2904 0.00 0.00 0.00
4189 0.00 0.00 0.00
6577 0.00 0.00 0.00
5574 0.00 0.00 0.00
 446 0.00 0.00 0.00
1343 0.00 0.00 0.00
5857 0.00 0.00 0.00
1288 0.00 0.00 0.00
1170 0.00 0.00 0.00
7058 0.00 0.00 0.00
 742 0.00 0.00 0.00
2746 0.00 0.00 0.00
2172 0.00 0.00 0.00
5775 0.00 0.00 0.00
5321 0.00 0.00 0.00
 336 0.00 0.00 0.00
 733 0.00 0.00 0.00
1331 0.00 0.00 0.00
6611 0.00 0.00 0.00
1664 0.00 0.00 0.00
1409 0.00 0.00 0.00
2187 0.00 0.00 0.00
1604 0.00 0.00 0.00
3038 0.00 0.00 0.00
1953 0.00 0.00 0.00
5873 0.00 0.00 0.00
5596 0.00 0.00 0.00
1485 0.00 0.00 0.00
   7 0.00 0.00 0.00
1975 0.00 0.00 0.00
5936 0.00 0.00 0.00
5657 0.00 0.00 0.00
4516 0.00 0.00 0.00
 400 0.00 0.00 0.00
4922 0.00 0.00 0.00
2709 0.00 0.00 0.00
3785 0.00 0.00 0.00
3190 0.00 0.00 0.00
2923 0.00 0.00 0.00
3662 0.00 0.00 0.00
3926 0.00 0.00 0.00
1388 0.00 0.00 0.00
2094 0.00 0.00 0.00
7087 0.00 0.00 0.00
4001 0.00 0.00 0.00
 407 0.00 0.00 0.00
1329 0.00 0.00 0.00
6125 0.00 0.00 0.00
 449 0.00 0.00 0.00
 581 0.00 0.00 0.00
2640 0.00 0.00 0.00
6764 0.00 0.00 0.00
3418 0.00 0.00 0.00
4977 0.00 0.00 0.00
4936 0.00 0.00 0.00
 474 0.00 0.00 0.00
2037 0.00 0.00 0.00
2829 0.00 0.00 0.00
2200 0.00 0.00 0.00
2465 0.00 0.00 0.00
5938 0.00 0.00 0.00
4863 0.00 0.00 0.00
6809 0.00 0.00 0.00
1340 0.00 0.00 0.00
  28 0.00 0.00 0.00
6231 0.00 0.00 0.00
4562 0.00 0.00 0.00
7179 0.00 0.00 0.00
 627 0.00 0.00 0.00
4693 0.00 0.00 0.00
4783 0.00 0.00 0.00
4068 0.00 0.00 0.00
 598 0.00 0.00 0.00
3478 0.00 0.00 0.00
1829 0.00 0.00 0.00
2723 0.00 0.00 0.00
2103 0.00 0.00 0.00
 280 0.00 0.00 0.00
6413 0.00 0.00 0.00
4425 0.00 0.00 0.00
3235 0.00 0.00 0.00
6755 0.00 0.00 0.00
6907 0.00 0.00 0.00
3125 0.00 0.00 0.00
7163 0.00 0.00 0.00
3994 0.00 0.00 0.00
4579 0.00 0.00 0.00
6429 0.00 0.00 0.00
2683 0.00 0.00 0.00
5048 0.00 0.00 0.00
3446 0.00 0.00 0.00
5815 0.00 0.00 0.00
3139 0.00 0.00 0.00
5030 0.00 0.00 0.00
5505 0.00 0.00 0.00
7061 0.00 0.00 0.00
4397 0.00 0.00 0.00
2242 0.00 0.00 0.00
5453 0.00 0.00 0.00
1825 0.00 0.00 0.00
2358 0.00 0.00 0.00
5347 0.00 0.00 0.00
4033 0.00 0.00 0.00
2910 0.00 0.00 0.00
 832 0.00 0.00 0.00
 414 0.00 0.00 0.00
 828 0.00 0.00 0.00
2040 0.00 0.00 0.00
6945 0.00 0.00 0.00
1176 0.00 0.00 0.00
5742 0.00 0.00 0.00
3290 0.00 0.00 0.00
5605 0.00 0.00 0.00
3453 0.00 0.00 0.00
6411 0.00 0.00 0.00
4691 0.00 0.00 0.00
5218 0.00 0.00 0.00
6838 0.00 0.00 0.00
4642 0.00 0.00 0.00
3631 0.00 0.00 0.00
 219 0.00 0.00 0.00
4317 0.00 0.00 0.00
6912 0.00 0.00 0.00
1369 0.00 0.00 0.00
1434 0.00 0.00 0.00
2760 0.00 0.00 0.00
3226 0.00 0.00 0.00
2565 0.00 0.00 0.00
3992 0.00 0.00 0.00
 868 0.00 0.00 0.00
1749 0.00 0.00 0.00
6588 0.00 0.00 0.00
5759 0.00 0.00 0.00
 889 0.00 0.00 0.00
6778 0.00 0.00 0.00
1949 0.00 0.00 0.00
2642 0.00 0.00 0.00
4125 0.00 0.00 0.00
1515 0.00 0.00 0.00
5440 0.00 0.00 0.00
1225 0.00 0.00 0.00
4961 0.00 0.00 0.00
6642 0.00 0.00 0.00
6660 0.00 0.00 0.00
2458 0.00 0.00 0.00
2210 0.00 0.00 0.00
  22 0.00 0.00 0.00
2966 0.00 0.00 0.00
7073 0.00 0.00 0.00
4291 0.00 0.00 0.00
 545 0.00 0.00 0.00
2989 0.00 0.00 0.00
5851 0.00 0.00 0.00
3084 0.00 0.00 0.00
1528 0.00 0.00 0.00
 346 0.00 0.00 0.00
7105 0.00 0.00 0.00
1894 0.00 0.00 0.00
4729 0.00 0.00 0.00
6505 0.00 0.00 0.00
6014 0.00 0.00 0.00
3715 0.00 0.00 0.00
  23 0.00 0.00 0.00
4194 0.00 0.00 0.00
6126 0.00 0.00 0.00
1943 0.00 0.00 0.00
4119 0.00 0.00 0.00
 863 0.00 0.00 0.00
5696 0.00 0.00 0.00
1675 0.00 0.00 0.00
5723 0.00 0.00 0.00
4152 0.00 0.00 0.00
6780 0.00 0.00 0.00
3165 0.00 0.00 0.00
6709 0.00 0.00 0.00
3533 0.00 0.00 0.00
6023 0.00 0.00 0.00
1137 0.00 0.00 0.00
3972 0.00 0.00 0.00
6718 0.00 0.00 0.00
5090 0.00 0.00 0.00
5903 0.00 0.00 0.00
1933 0.00 0.00 0.00
5656 0.00 0.00 0.00
6684 0.00 0.00 0.00
1925 0.00 0.00 0.00
1143 0.00 0.00 0.00
4337 0.00 0.00 0.00
1061 0.00 0.00 0.00
3502 0.00 0.00 0.00
5228 0.00 0.00 0.00
5800 0.00 0.00 0.00
2062 0.00 0.00 0.00
1629 0.00 0.00 0.00
3375 0.00 0.00 0.00
2798 0.00 0.00 0.00
3272 0.00 0.00 0.00
6846 0.00 0.00 0.00
5817 0.00 0.00 0.00
7017 0.00 0.00 0.00
5621 0.00 0.00 0.00
4559 0.00 0.00 0.00
2295 0.00 0.00 0.00
6415 0.00 0.00 0.00
3464 0.00 0.00 0.00
6339 0.00 0.00 0.00
1160 0.00 0.00 0.00
1201 0.00 0.00 0.00
5617 0.00 0.00 0.00
6056 0.00 0.00 0.00
5954 0.00 0.00 0.00
 246 0.00 0.00 0.00
7014 0.00 0.00 0.00
  57 0.00 0.00 0.00
7152 0.00 0.00 0.00
5265 0.00 0.00 0.00
4461 0.00 0.00 0.00
5163 0.00 0.00 0.00
 128 0.00 0.00 0.00
4160 0.00 0.00 0.00
 664 0.00 0.00 0.00
 550 0.00 0.00 0.00
4942 0.00 0.00 0.00
5197 0.00 0.00 0.00
1809 0.00 0.00 0.00
6218 0.00 0.00 0.00
1376 0.00 0.00 0.00
2171 0.00 0.00 0.00
1810 0.00 0.00 0.00
2880 0.00 0.00 0.00
5500 0.00 0.00 0.00
4645 0.00 0.00 0.00
1850 0.00 0.00 0.00
2418 0.00 0.00 0.00
 203 0.00 0.00 0.00
2548 0.00 0.00 0.00
5731 0.00 0.00 0.00
 213 0.00 0.00 0.00
6748 0.00 0.00 0.00
5840 0.00 0.00 0.00
 574 0.00 0.00 0.00
6338 0.00 0.00 0.00
 380 0.00 0.00 0.00
5297 0.00 0.00 0.00
3991 0.00 0.00 0.00
 308 0.00 0.00 0.00
6248 0.00 0.00 0.00
2954 0.00 0.00 0.00
3001 0.00 0.00 0.00
3443 0.00 0.00 0.00
 589 0.00 0.00 0.00
3674 0.00 0.00 0.00
5039 0.00 0.00 0.00
1427 0.00 0.00 0.00
2266 0.00 0.00 0.00
 699 0.00 0.00 0.00
5064 0.00 0.00 0.00
4351 0.00 0.00 0.00
6808 0.00 0.00 0.00
6214 0.00 0.00 0.00
5586 0.00 0.00 0.00
5945 0.00 0.00 0.00
3231 0.00 0.00 0.00
6882 0.00 0.00 0.00
5337 0.00 0.00 0.00
2926 0.00 0.00 0.00
1088 0.00 0.00 0.00
4925 0.00 0.00 0.00
5667 0.00 0.00 0.00
5206 0.00 0.00 0.00
3902 0.00 0.00 0.00
2196 0.00 0.00 0.00
 805 0.00 0.00 0.00
4498 0.00 0.00 0.00
1155 0.00 0.00 0.00
2819 0.00 0.00 0.00
2994 0.00 0.00 0.00
5584 0.00 0.00 0.00
6985 0.00 0.00 0.00
1151 0.00 0.00 0.00
6390 0.00 0.00 0.00
3054 0.00 0.00 0.00
4837 0.00 0.00 0.00
4857 0.00 0.00 0.00
 683 0.00 0.00 0.00
7140 0.00 0.00 0.00
1650 0.00 0.00 0.00
5355 0.00 0.00 0.00
5225 0.00 0.00 0.00
1745 0.00 0.00 0.00
6114 0.00 0.00 0.00
 324 0.00 0.00 0.00
1740 0.00 0.00 0.00
2939 0.00 0.00 0.00
4139 0.00 0.00 0.00
 539 0.00 0.00 0.00
1226 0.00 0.00 0.00
2590 0.00 0.00 0.00
4213 0.00 0.00 0.00
5763 0.00 0.00 0.00
1780 0.00 0.00 0.00
6595 0.00 0.00 0.00
2526 0.00 0.00 0.00
3089 0.00 0.00 0.00
3606 0.00 0.00 0.00
7107 0.00 0.00 0.00
4821 0.00 0.00 0.00
1552 0.00 0.00 0.00
1732 0.00 0.00 0.00
 302 0.00 0.00 0.00
2544 0.00 0.00 0.00
3761 0.00 0.00 0.00
3494 0.00 0.00 0.00
5234 0.00 0.00 0.00
3182 0.00 0.00 0.00
3425 0.00 0.00 0.00
6245 0.00 0.00 0.00
 247 0.00 0.00 0.00
3277 0.00 0.00 0.00
6366 0.00 0.00 0.00
5136 0.00 0.00 0.00
1042 0.00 0.00 0.00
5537 0.00 0.00 0.00
4261 0.00 0.00 0.00
4644 0.00 0.00 0.00
1183 0.00 0.00 0.00
3943 0.00 0.00 0.00
1919 0.00 0.00 0.00
5859 0.00 0.00 0.00
1395 0.00 0.00 0.00
6761 0.00 0.00 0.00
4450 0.00 0.00 0.00
6742 0.00 0.00 0.00
 936 0.00 0.00 0.00
 392 0.00 0.00 0.00
2286 0.00 0.00 0.00
1199 0.00 0.00 0.00
6174 0.00 0.00 0.00
2615 0.00 0.00 0.00
2071 0.00 0.00 0.00
7068 0.00 0.00 0.00
4622 0.00 0.00 0.00
6281 0.00 0.00 0.00
5247 0.00 0.00 0.00
6663 0.00 0.00 0.00
4419 0.00 0.00 0.00
1979 0.00 0.00 0.00
6833 0.00 0.00 0.00
1523 0.00 0.00 0.00
6949 0.00 0.00 0.00
3020 0.00 0.00 0.00
4903 0.00 0.00 0.00
6069 0.00 0.00 0.00
6438 0.00 0.00 0.00
4690 0.00 0.00 0.00
4702 0.00 0.00 0.00
2345 0.00 0.00 0.00
1659 0.00 0.00 0.00
3383 0.00 0.00 0.00
3941 0.00 0.00 0.00
6911 0.00 0.00 0.00
5390 0.00 0.00 0.00
3870 0.00 0.00 0.00
6574 0.00 0.00 0.00
6544 0.00 0.00 0.00
4171 0.00 0.00 0.00
 623 0.00 0.00 0.00
1357 0.00 0.00 0.00
5947 0.00 0.00 0.00
 278 0.00 0.00 0.00
5916 0.00 0.00 0.00
5736 0.00 0.00 0.00
6471 0.00 0.00 0.00
5198 0.00 0.00 0.00
1119 0.00 0.00 0.00
2998 0.00 0.00 0.00
1737 0.00 0.00 0.00
3879 0.00 0.00 0.00
4845 0.00 0.00 0.00
6470 0.00 0.00 0.00
5989 0.00 0.00 0.00
6978 0.00 0.00 0.00
 543 0.00 0.00 0.00
5917 0.00 0.00 0.00
7026 0.00 0.00 0.00
3124 0.00 0.00 0.00
5059 0.00 0.00 0.00
3983 0.00 0.00 0.00
4034 0.00 0.00 0.00
5484 0.00 0.00 0.00
5460 0.00 0.00 0.00
5994 0.00 0.00 0.00
3580 0.00 0.00 0.00
2035 0.00 0.00 0.00
5200 0.00 0.00 0.00
5013 0.00 0.00 0.00
1660 0.00 0.00 0.00
6850 0.00 0.00 0.00
 268 0.00 0.00 0.00
3928 0.00 0.00 0.00
6968 0.00 0.00 0.00
3842 0.00 0.00 0.00
1600 0.00 0.00 0.00
 342 0.00 0.00 0.00
2639 0.00 0.00 0.00
1516 0.00 0.00 0.00
4778 0.00 0.00 0.00
2795 0.00 0.00 0.00
3575 0.00 0.00 0.00
3312 0.00 0.00 0.00
2710 0.00 0.00 0.00
1797 0.00 0.00 0.00
1322 0.00 0.00 0.00
 408 0.00 0.00 0.00
 165 0.00 0.00 0.00
1026 0.00 0.00 0.00
1944 0.00 0.00 0.00
2625 0.00 0.00 0.00
1579 0.00 0.00 0.00
5571 0.00 0.00 0.00
